"id","name","mimeType","modifiedTime","parentId","path","depth","isFolder"
"1tfcsbaXIyrArenIyBT3D-84rgNER3GsqMj9o5jrtiXk","Qman - Content Queue","application/vnd.google-apps.spreadsheet","2025-11-16T17:51:38.756Z","1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","/Drive/Growth/Content Library/Content/Video content/Qman - Content Queue","5","false"
"1yp6qpQGSw46Yp4r4xQZDruY5mTRLFO5Y","archive_wip","application/vnd.google-apps.folder","2025-11-16T16:32:12.859Z","1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","/Drive/Growth/Content Library/Content/Video content/archive_wip","5","true"
"1FmflKAaUkOpB8xFPb0TsdZKVVjfTh_vG","posted","application/vnd.google-apps.folder","2025-11-16T16:32:04.945Z","1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","/Drive/Growth/Content Library/Content/Video content/posted","5","true"
"1i3PMm21gnTV9tiRrd1ldA9cfkN6IkhhW","scheduled","application/vnd.google-apps.folder","2025-11-16T16:31:58.878Z","1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","/Drive/Growth/Content Library/Content/Video content/scheduled","5","true"
"1O2EYVPeKC9BYr7KzCjOR2lmsRWP7bETf","queue_ready","application/vnd.google-apps.folder","2025-11-16T16:31:46.480Z","1ei3G_NweRrgTc_pOOwCOqaO7h2kHBXUN","/Drive/Growth/Content Library/Content/Video content/queue_ready","5","true"
"18fBAwWIB3mTpBe21Yvb7VG9B1oU7Fmb5PCLKWCGTu9I","Meeting started 2026/01/09 19:25 EST - Notes by Gemini","application/vnd.google-apps.document","2026-01-10T12:34:14.967Z","1ImlkXoQP5qAvsU5YGriWH_Adpt9qyRxL","/Drive/Growth/Partnerships/Clients//Trap N Poetry/Call notes/Meeting started 2026/01/09 19:25 EST - Notes by Gemini","5","false"
"127jp_L2e4eFYdSE4enoo8hKHWxlQL8Eu","Dinner Parties","application/vnd.google-apps.folder","2026-01-06T14:45:53.606Z","18HBhV-7RDelXfeNhUFER6P90hx0MTLN4","/Drive/Growth/Events/Activated visionary/ACV - Event Media/Dinner Parties","5","true"
"13Nd6eZs3VePiEU1NYMXlK7aF4M5nNQ4k","Workshop 0 - $100K","application/vnd.google-apps.shortcut","2025-12-30T07:48:54.197Z","1Spb7sONxoaD7zzdBuYNMUPfbVrZvAC3Z","/Drive/Growth/Events/Activated visionary/Workshop/Workshop 0 - $100K","5","false"
"166e8QEfppzfYMpOQFczdLTpXjJpj0oE-","Ritual Dinner Party 1_3- Budget.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2026-01-05T22:24:18.000Z","1j2-2vBwqp0f99KsH4P_9qL00VmJtZ3zM","/Drive/Growth/Events/Ritual dinner party/RDP - Assets/Ritual Dinner Party 1_3- Budget.xlsx","5","false"
"1gJmCFt13ezPZnfuwrx7u47I4zHlitFo985Now5k2bH0","Rite 3: Declaration Product Briefing","application/vnd.google-apps.document","2026-01-09T08:03:42.213Z","1o-ACVlHTaO2PGeKXXVSIboCXSBOaDz_K","/Drive/Growth/Products/3 Rites products/Rite 3 - Declaration/Rite 3: Declaration Product Briefing","5","false"
